Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Терещук,Олександр,Андрійович,чоловік,1985-09-14,Стиліст,село Горішні Плавні,"провулок Парковий, буд. 978, Володимир-Волинський, 15037",+380 94 239 88 25,mykyta34@example.net
Чередник,Ілля,Андрійович,чоловік,1960-07-23,Нотаріус,хутір Новодружеськ,"вулиця Юзефа Крашевського, буд. 2, Іловайськ, 06877",+380 (18) 169-80-37,dzasenko@example.net
Ґалаґан,Онисим,Сергійович,чоловік,1946-03-14,Ді-джей,селище Роздільна,"провулок Колонтаївська, буд. 249, Рогатин, 37754",+380 36 333-31-04,nestor33@example.org
Зінченко,Ілля,Андрійович,чоловік,1945-04-08,Науковець,селище Бердянськ,"узвіз Косовський, буд. 0, Заводське, 56109",616-90-42,vprokopovych@example.com
Адаменко,Юстина,Іванівна,жінка,1970-09-25,Драматург,місто Часів Яр,"площа Лінія 37-ма, буд. 232 кв. 8, Горлівка, 58658",+380 (81) 120-22-72,leontiichaban@example.org
Твердохліб,Онисим,Іванович,чоловік,1993-03-14,Мірошник,місто Світловодськ,"провулок Платанова, буд. 475 кв. 77, Радивилів, 21888",398 67 11,nataliia18@example.com
Корпанюк,Федір,Петрович,чоловік,1997-04-30,Няня,місто Харцизьк,"проспект Вокзальна, буд. 084 кв. 02, Святогірськ, 35345",+380 08 551-19-83,ntsiupa@example.net
Фастенко,Прохір,Олегович,чоловік,1992-07-08,Науковець,село Корець,"проспект Кінбурнський, буд. 614, Дубровиця, 95495",+380 (93) 138-81-12,opanasfartushniak@example.com
Скорик,Лариса,Сергіївна,жінка,1947-10-13,Промисловець,селище Сіверськодонецьк,"проспект Ждахи, буд. 4 кв. 33, Чистякове, 63533",083 447 69 17,iosyp37@example.net
Колесниченко,Аніта,Олегівна,жінка,1988-01-02,Дипломат,село Зборів,"сквер Долинська, буд. 408, Гайсин, 28663",+380 34 922 57 00,vivcharenkoles@example.org
Худобʼяк,Богуслав,Сергійович,чоловік,1963-11-07,Флорист,село Гірник,"набережна Долинська, буд. 827, Вугледар, 53544",161 02 03,danprymachenko@example.org
Балабан,Сергій,Сергійович,чоловік,2003-06-13,Скульптор,село Кобеляки,"проспект Наявний 3-й, буд. 227, Гайсин, 95242",+380 08 028-02-53,martynvasylevych@example.com
Вітер,Анжела,Володимирівна,жінка,1990-11-21,Золотар,селище Довжанськ,"проспект Наклонна, буд. 561 кв. 849, Новий Буг, 54566",+380 51 029-45-92,kybkalooleh@example.com
Конопля,Руслан,Олегович,чоловік,1994-09-02,Клавішник,місто Олевськ,"парк Чайкова, буд. 50, Вугледар, 36104",051 066 83 44,syrotenkozynovii@example.net
Шиян,Трохим,Петрович,чоловік,2004-07-29,Гінеколог,селище Галич,"сквер Степний 2-й, буд. 5, Тернівка, 12471",389 10 79,okhrimfastenko@example.net
Романець,Оксана,Петрівна,жінка,1961-09-02,Провізор,хутір Гуляйполе,"сквер Тупиковий 1-й, буд. 7, Новодністровськ, 27805",+380 50 329-71-27,varfolomii10@example.net
Онуфрієнко,Віра,Олегівна,жінка,2004-09-12,Гірничий інженер,селище Ромни,"набережна Пересипський 1-й, буд. 625 кв. 2, Яворів, 93057",266 08 10,dereviankoarsen@example.org
Байрак,Амвросій,Володимирович,чоловік,1943-04-07,Електротехнік,село Отаманівка,"набережна Гімназична, буд. 787, Мар'їнка, 09469",+380 77 046-90-82,eiaremko@example.net
Башполченко,Марина,Володимирівна,жінка,1992-02-12,М'ясник,селище Бахчисарай,"вулиця Армійська, буд. 5, Гірник, 35506",012 722-61-77,hrytsenkopriska@example.org
Філіпенко,Надія,Сергіївна,жінка,1944-05-05,Гицель,селище Бахчисарай,"вулиця Квіткова, буд. 664 кв. 669, Помічна, 80702",+380 37 892-29-69,avhustyntymchenko@example.net
Дрозд,Євген,Андрійович,чоловік,1985-01-07,Водій,село Кременець,"площа Соляний 4-й, буд. 62, Монастириська, 05057",763 37 71,tetianatsymbal@example.com
Швачко,Леонтій,Олегович,чоловік,1991-04-08,Машиніст,село Ірміно,"площа Віталія Блажка, буд. 284, Татарбунари, 01763",787 42 48,demian97@example.net
Демʼянчук,Адам,Іванович,чоловік,1978-06-15,Складальник,місто Моршин,"набережна Український 2-й, буд. 2 кв. 413, Надвірна, 37709",064 635 63 11,varfolomiiiakymenko@example.net
Цісик,Герман,Володимирович,чоловік,1993-10-01,Локсмайстер,селище Берестечко,"узвіз Дніпропетровська дорога, буд. 804, Курахове, 28298",002 860-94-05,nataliiazakharenko@example.org
Дуплій,Святослав,Андрійович,чоловік,1963-06-24,Мірошник,місто Федорівка,"сквер Колекційна, буд. 93 кв. 780, Зимогір'я, 32333",618-49-11,ihnatizhak@example.com
Дубина,Богдан,Петрович,чоловік,1981-03-22,Геолог,місто Сватове,"провулок Мигдальна, буд. 78, Жмеринка, 26539",785-81-02,mykhailychenkoviktoriia@example.net
Полтавець,Людмила,Олексіївна,жінка,1981-06-08,Епідеміолог,хутір Ковель,"провулок Дев’ята, буд. 682 кв. 8, Миронівка, 61211",092 048 32 70,ivan92@example.org
Журба,Макар,Андрійович,чоловік,1992-11-28,Локсмайстер,село Дунаївці,"проспект Шостої 1-й, буд. 6 кв. 8, Кам'янка-Бузька, 68034",+380 30 629-58-97,heorhii65@example.com
Кабалюк,Амвросій,Петрович,чоловік,1989-08-22,Психолог,хутір Докучаєвськ,"проспект Гранатна, буд. 8, Мерефа, 20894",002 291 07 33,zorian23@example.net
Аврамчук,Ілля,Іванович,чоловік,1955-12-24,Режисер,селище Лиман,"набережна Нескучна, буд. 03, Суходільськ, 01215",469-86-73,rshmorhun@example.com
Габелко,Анастасія,Олексіївна,жінка,1952-01-30,Євнух,село Сколе,"площа Чорноморський 1-й, буд. 806 кв. 3, Переяслав, 86185",+380 (97) 725-78-84,vitalii14@example.net
Василашко,Опанас,Петрович,чоловік,1953-11-18,Математик,село Новий Буг,"провулок Павла Чубинського, буд. 607 кв. 756, Бар, 72318",+380 46 468-20-27,onysymartiushenko@example.net
Сич,Арсен,Сергійович,чоловік,2004-12-20,Слідчий,селище Богодухів,"вулиця Олександра Блока, буд. 198 кв. 936, Каховка, 72902",099 668-43-46,solomiia78@example.com
Шведченко,Данило,Володимирович,чоловік,2005-10-21,Акушер,хутір Шахтарське,"парк Чорноморський 1-й, буд. 03 кв. 465, Білозерське, 64822",293-89-93,oresthaievskyi@example.com
Полтавець,Юстим,Володимирович,чоловік,1947-03-02,Фольклорист,селище Кодима,"проспект Садовий, буд. 3, Знам'янка, 71841",+380 (10) 438-14-11,myroslav01@example.net
Гавриленко,Андрій,Андрійович,чоловік,1982-05-26,Конструктор,село Липовець,"вулиця 14-та ст. Великого Фонтану пляж, буд. 535, Шептицький, 72481",+380 03 323 19 31,wcherednyk@example.com
Ващук,Святослава,Сергіївна,жінка,1958-03-08,Кінолог,місто Берегове,"провулок Морський, буд. 8 кв. 45, Міусинськ, 40335",600 35 81,iaroslavakorsun@example.net
Чумаченко,Михайло,Петрович,чоловік,2002-02-21,Випробувач,село Батурин,"площа Київське, буд. 65, Горлівка, 77928",019 294-43-31,opanasenkosemen@example.org
Алексеєнко,Яків,Олегович,чоловік,1959-07-14,Електромонтер,село Заводське,"вулиця Олексія Косяченко, буд. 635, Семенівка, 14787",+380 (16) 038-37-53,iaroslav40@example.com
Базавлученко,Артем,Петрович,чоловік,1985-07-14,Географ,хутір Володимир-Волинський,"сквер Саймона Літмана, буд. 14, Скалат, 74071",+380 14 723-41-63,andriishyndemian@example.com
Бабариченко,Єлисавета,Володимирівна,жінка,1988-06-24,Бізнесмен,село Петрово-Красносілля,"вулиця Миколи Куліша, буд. 848 кв. 3, Херсон, 23884",065 384-91-05,dmytro61@example.com
Устенко,Петро,Олегович,чоловік,1974-10-28,Актор,місто Кобеляки,"узвіз Севастопольський, буд. 61, Коростень, 52552",+380 69 200-57-80,ntokar@example.com
Демʼяненко,Леонтій,Андрійович,чоловік,1975-06-07,Намотувальник,селище Шаргород,"провулок Аеропортівський 3-й, буд. 891, Хуст, 28636",+380 62 506 73 10,ktovstukha@example.com
Шовкопляс,Валерій,Володимирович,чоловік,1978-10-15,Парфюмер,селище Берестин,"сквер 15-та ст. Великого Фонтану пляж, буд. 8, Старокостянтинів, 35793",060 424 45 49,valentynchuiko@example.net
Корсун,Вʼячеслав,Петрович,чоловік,1968-07-26,Акушер,місто Ясинувата,"сквер Ясна, буд. 50 кв. 49, Жовква, 72464",265 54 73,durdynetsfeofan@example.org
Опанасенко,Костянтин,Олексійович,чоловік,1951-08-13,Реставратор,хутір Сторожинець,"провулок Радісний, буд. 002 кв. 0, Кадіївка, 38989",+380 19 366-43-93,ukarpenko@example.com
Ярема,Василина,Олексіївна,жінка,1939-07-04,Гінеколог,селище Олешки,"парк Шампанський, буд. 773 кв. 55, Березань, 70908",+380 37 009-71-37,iustym62@example.org
Чміль,Орест,Петрович,чоловік,1946-06-11,Філолог,село Лутугине,"сквер Морський 2-й, буд. 491 кв. 589, Зугрес, 29996",+380 (40) 301-97-82,nataliiapoltavets@example.com
Заруба,Світлана,Петрівна,жінка,2007-01-27,Паблік рилейшнз,хутір Жашків,"площа Хвойний, буд. 7 кв. 9, Нова Одеса, 34151",507-03-54,adam36@example.net
Коваленко,Трохим,Андрійович,чоловік,2003-01-18,Зоолог,село Глобине,"шосе Чумацька, буд. 08 кв. 127, Пирятин, 16590",084 741-40-33,larysarebryk@example.net
Скорик,Алевтин,Петрович,чоловік,1971-05-25,Намотувальник,хутір Донецьк,"проспект Всеволода Змієнка, буд. 60 кв. 63, Феодосія, 04055",+380 (50) 666-85-60,deisunmaksym@example.net
Кащенко,Соломія,Володимирівна,жінка,1976-03-26,Фрілансер,місто Чернівці,"набережна Архітектурна, буд. 8 кв. 456, Бершадь, 99231",969-83-80,danievtushenko@example.org
Парасюк,Тарас,Іванович,чоловік,1971-07-04,Сценарист,село Дунаївці,"набережна Каретний, буд. 572 кв. 903, Гірник, 44694",+380 99 346-35-22,kanivetszorian@example.org
Шутько,Аарон,Олексійович,чоловік,1962-02-13,Стоматолог,хутір Угнів,"вулиця Локомотивний 1-й, буд. 51, Ізяслав, 76500",520-39-33,tsymbalalevtyn@example.com
Гаврилюк,Франц,Іванович,чоловік,2000-08-10,Пілот,хутір Дергачі,"проспект Деревообробний 2-й, буд. 879 кв. 61, Покровськ, 11338",+380 (03) 808-65-43,levkonesterenko@example.net
Дашенко,Назар,Петрович,чоловік,1977-12-02,Біолог,місто Тячів,"вулиця Василя Капніста, буд. 2 кв. 562, Козятин, 99624",+380 12 644 30 95,lesfilipenko@example.net
Гупало,Охрім,Володимирович,чоловік,1972-12-24,Різноробочий,місто Угнів,"вулиця Остапа Вишні, буд. 16, Обухів, 86228",289 48 85,zdavydenko@example.net
Дейнеко,Онисим,Володимирович,чоловік,1983-09-11,Географ,селище Кремінна,"шосе Біржова, буд. 38, Долинська, 97706",637-77-96,oierchenko@example.org
Журавель,Гаврило,Сергійович,чоловік,1947-04-24,Літературознавець,місто Ровеньки,"вулиця Нечипуренка, буд. 741 кв. 98, Сокиряни, 74970",+380 (40) 578-29-43,zasenkoroksolana@example.net
Штокало,Дан,Петрович,чоловік,1941-02-08,Стоматолог,місто Решетилівка,"шосе Старосінна, буд. 3 кв. 049, Вільногірськ, 60074",+380 (47) 040-64-71,shcherbanvioletta@example.org
Бабиченко,Богуслав,Андрійович,чоловік,1997-08-03,Геофізик,місто Тетіїв,"узвіз Бондарна, буд. 647, Ковель, 96257",+380 95 591 80 95,hermanskorobohatko@example.com
Приходько,Адам,Володимирович,чоловік,2005-11-20,Клавішник,селище Гола Пристань,"проспект Мельницька, буд. 4, Попасна, 98342",022 312 91 89,viktoriia12@example.net
Бабʼяк,Симон,Олексійович,чоловік,1952-07-06,Епідеміолог,місто Нова Одеса,"провулок Перлинна, буд. 7 кв. 658, Білицьке, 94688",+380 (75) 501-71-03,danna73@example.com
Журба,Богдан,Андрійович,чоловік,1948-03-30,Агроном,село Антрацит,"проспект Об'їзна дорога, буд. 538, Генічеськ, 44094",009 965-92-74,amvrosii98@example.org
Терещенко,Мирослав,Іванович,чоловік,1949-11-17,Флорист,хутір Люботин,"сквер Травневий 2-й, буд. 31 кв. 1, Новодружеськ, 35273",088-64-39,bohdanna99@example.net
Забара,Теодор,Петрович,чоловік,1949-07-29,Швачка,хутір Тальне,"площа Перший Кришталевий, буд. 711 кв. 00, Кіцмань, 27224",370-66-66,bohdannahuzii@example.net
Романчук,Нестор,Олегович,чоловік,1989-09-30,Фрілансер,селище Олевськ,"вулиця Уральський, буд. 62, Вараш, 37946",+380 (12) 809-34-00,ddutka@example.com
Батіг,Євген,Сергійович,чоловік,1950-09-27,Художник,селище Покровськ,"узвіз Володі Дубініна, буд. 98 кв. 0, Сімферополь, 27187",013 514-14-88,evyshniak@example.net
Захаренко,Юстина,Сергіївна,жінка,1989-08-05,Мовознавець,село Харцизьк,"шосе Персикова, буд. 9 кв. 660, Красногорівка, 83395",914 99 30,bohuslavshvaika@example.com
Царенко,Федір,Володимирович,чоловік,1975-02-09,Футболіст,село Одеса,"вулиця Урожайна, буд. 06 кв. 77, Підгородне, 54704",+380 76 702-04-68,allatalan@example.net
Єфименко,Юстим,Петрович,чоловік,1964-04-30,Продюсер,селище Шахтарськ,"проспект Галини Могильницької, буд. 50, Калинівка, 18271",+380 18 313-16-86,zabashtaheorhii@example.net
Юхименко,Олена,Петрівна,жінка,1973-07-04,Диригент,місто Шумськ,"набережна 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 05, Перевальськ, 51680",+380 12 712-17-31,fokhrimenko@example.net
Даценко,Амвросій,Сергійович,чоловік,2006-02-21,Живописець,село Могилів-Подільський,"узвіз Балтський 6-й, буд. 8 кв. 434, Ямпіль, 82575",+380 39 102 72 80,larysavernydub@example.com
Вакарчук,Григорій,Петрович,чоловік,1954-06-10,Менеджер,місто Мена,"провулок Свободи, буд. 36 кв. 49, Тлумач, 87546",071 804-28-78,pylyplesyk@example.com
Абраменко,Лариса,Сергіївна,жінка,1947-06-04,Бізнесмен,хутір Ворожба,"парк Херсонський сквер, буд. 829, Долина, 09627",+380 35 146 22 19,stefan97@example.org
Тесля,Олесь,Іванович,чоловік,1990-11-09,Реставратор,село Гірник,"шосе 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 46, Моршин, 07201",929-49-66,petro38@example.org
Шиян,Богуслава,Андріївна,жінка,1959-01-14,Кур'єр,селище Турка,"шосе Асташкіна, буд. 283, Бобринець, 15561",088 317-70-68,marko07@example.org
Дуплій,Борислав,Іванович,чоловік,1997-07-21,Підприємець,місто Шостка,"парк Андросовський, буд. 7, Сіверськ, 53173",+380 71 045-25-14,vitaliivasylechko@example.com
Саченко,Варфоломій,Олегович,чоловік,1963-07-02,Менеджер,селище Павлоград,"набережна Товарний, буд. 1 кв. 7, Сіверськодонецьк, 82595",+380 33 828 50 86,valentynzhurba@example.org
Бабенко,Роксолана,Володимирівна,жінка,1956-12-07,Реставратор,місто Пустомити,"площа Стовпова, буд. 1, Нововолинськ, 67838",478 94 10,venhrynovychsnizhana@example.org
Ващук,Володимира,Іванівна,жінка,1993-06-11,Штукатур,селище Шахтарське,"площа Василя Кричевського, буд. 167, Лубни, 13197",072 183-39-98,iryna40@example.org
Асаула,Борис,Олексійович,чоловік,2006-06-29,Модельєр,село Ланівці,"шосе Проектуєма, буд. 6, Бровари, 08960",462-18-45,gkozachenko@example.com
Талан,Григорій,Іванович,чоловік,1984-02-25,Модельєр,хутір Люботин,"сквер Вільгельма Габсбурга, буд. 4 кв. 4, Нова Одеса, 10488",+380 92 065-16-46,darynapustovit@example.net
Масоха,Костянтин,Іванович,чоловік,2007-08-26,Будник,село Дебальцеве,"шосе Чорноморський 3-й, буд. 61, Луцьк, 13225",072 348 60 96,panas49@example.net
Кальченко,Роман,Іванович,чоловік,2004-06-25,Гірничий інженер,хутір Рені,"проспект Мукачівський, буд. 818, Скалат, 94686",+380 24 672 82 16,jtovstolis@example.net
Щорс,Едита,Володимирівна,жінка,1980-08-26,Менеджер,місто Амвросіївка,"набережна Дністровська, буд. 101, Ладижин, 11770",+380 (63) 393-57-41,bevzostap@example.com
Чередник,Лілія,Іванівна,жінка,1983-02-26,Кінорежисер,селище Євпаторія,"сквер Березова, буд. 767 кв. 66, Скалат, 15782",843-96-06,amaliiakozak@example.net
Яценюк,Нестор,Петрович,чоловік,1949-08-07,Математик,місто Сокаль,"сквер Сливовий, буд. 67, Хутір-Михайлівський, 27724",+380 40 974-33-13,kovpakvalerii@example.com
Єрмоленко,Златослава,Андріївна,жінка,1987-12-15,Мовознавець,хутір Путивль,"площа Дачний, буд. 086 кв. 113, Кобеляки, 23919",+380 21 028-42-78,taras85@example.org
Фартушняк,Ліза,Олексіївна,жінка,1965-05-14,Електрик,селище Сімферополь,"набережна Михайла Слабченка, буд. 340 кв. 52, Миргород, 38446",072 474 10 23,sartym@example.net
Голик,Прохір,Олексійович,чоловік,1954-02-14,Державний службовець,місто Южноукраїнськ,"шосе Хаджибейська дорога, буд. 7 кв. 7, Сміла, 60795",036 747-17-45,les17@example.com
Вергун,Ольга,Олегівна,жінка,1945-06-30,Хореограф,село Рівне,"провулок Львівський, буд. 034, Володимир-Волинський, 82695",+380 (17) 145-77-37,liudmyla10@example.com
Овчаренко,Богодар,Володимирович,чоловік,1942-06-05,Композитор,село Багачеве,"узвіз Килимова, буд. 71 кв. 09, Вишневе, 71676",014 837-05-36,zkhomenko@example.com
Стельмах,Єфрем,Олегович,чоловік,1943-01-24,Бібліограф,село Дніпро,"сквер Госпітальєрів, буд. 0 кв. 155, Конотоп, 79584",+380 (97) 035-66-25,ielysavetabandera@example.org
Цимбалюк,Богдан,Олегович,чоловік,1951-02-22,Головний меркшейдер,місто Соледар,"вулиця Лиманчик 2-й Лінія 9-та, буд. 12 кв. 231, Кобеляки, 09158",+380 72 142-97-49,iefrem94@example.net
Аронець,Ігнат,Олегович,чоловік,1965-12-29,Доцент,селище Монастирище,"вулиця Тіниста, буд. 904 кв. 5, Городня, 43894",+380 02 835-86-05,bohuslav87@example.org
Шамрай,Ігнат,Олегович,чоловік,1977-05-17,Каскадер,місто Звенигородка,"провулок Путьова, буд. 940 кв. 13, Кролевець, 64111",160 81 11,alevtyn94@example.com
Малик,Геннадій,Олегович,чоловік,1960-12-20,Скульптор,село Білопілля,"сквер Ольгіївський узвіз, буд. 71, Ізмаїл, 62526",+380 (89) 948-94-52,volodymyraiaremenko@example.com
Голобородько,Лукʼян,Сергійович,чоловік,1987-10-24,Стропальник,хутір Тетіїв,"провулок Джутовий, буд. 47, Бахмут, 90533",037 452 75 74,isaienkosviatoslava@example.org
Валенко,Руслан,Сергійович,чоловік,1948-12-16,Різноробочий,селище Южне,"провулок Глаубермана, буд. 381, Тиврів, 65617",+380 55 501-45-03,cpiatachenko@example.org
Джунь,Роман,Олегович,чоловік,1979-12-16,Доцент,місто Березівка,"шосе Миколи Плигуна, буд. 25 кв. 2, Підгайці, 53033",022 301-48-98,hermanavramenko@example.net
Черненко,Оксенія,Володимирівна,жінка,1983-12-13,Журналіст,село Татарбунари,"узвіз Балтська дорога, буд. 6, Антрацит, 08648",048 576 52 73,cmatviienko@example.com
Бандурка,Ірена,Петрівна,жінка,1967-06-15,Доцент,хутір Вишгород,"сквер Деревообробний 5-й, буд. 4 кв. 83, Новодружеськ, 40480",079 193-84-54,valentynhavrylenko@example.com
Охріменко,Варвара,Петрівна,жінка,1989-12-27,Журналіст,місто Багачеве,"провулок Василя Кричевського, буд. 42, Брянка, 44597",+380 (40) 009-94-68,khrystenkomariia@example.net
Швачка,Світлана,Іванівна,жінка,2008-10-27,Вчитель,селище Вознесенськ,"провулок Аркадійська, буд. 8 кв. 449, Чуднів, 07217",+380 24 934-40-91,oleh90@example.net
Дрозд,Соломія,Іванівна,жінка,1962-02-06,Живописець,село Інкерман,"парк Приморська, буд. 56 кв. 816, Щолкіне, 49631",004 920-56-60,apelekh@example.org
Шинкаренко,Антон,Андрійович,чоловік,1946-10-22,Кухар,місто Судак,"площа Північна, буд. 112, Березне, 57510",688 36 53,xrebryk@example.net
Тимчук,Трохим,Олексійович,чоловік,1941-10-01,Музикознавець,селище Вилкове,"шосе Альпіністів, буд. 7 кв. 76, Чуднів, 72211",+380 61 996 16 78,vhuzii@example.com
Євтушок,Давид,Сергійович,чоловік,1986-05-11,Акушер,селище Кодима,"парк Леонтовича, буд. 227 кв. 52, Ківерці, 79206",000 224 85 28,ihnat21@example.net
Саченко,Тереза,Олексіївна,жінка,1983-12-16,Хімік,місто Перевальськ,"набережна Лютневий 2-й, буд. 5 кв. 4, Кам'янка-Бузька, 07410",581 06 92,ibevzenko@example.com
Заїка,Давид,Олегович,чоловік,2005-10-27,Стропальник,хутір Остер,"вулиця Змієнка Всеволода, буд. 5, Вараш, 70311",094 003 56 73,taraslytvynenko@example.com
Чала,Герман,Олексійович,чоловік,1947-05-02,Скульптор,місто Слов'янськ,"провулок Лінія 28-ма, буд. 6, Великі Мости, 58516",135-34-40,viktoriiazasenko@example.org
Джунь,Амвросій,Володимирович,чоловік,1970-05-25,Археолог,місто Бобринець,"вулиця Басейний 2-й, буд. 88, Мирноград, 80180",057 431-54-55,solomonderiazhna@example.net
Андрійович,Клавдія,Сергіївна,жінка,1983-03-01,Фармацевт,хутір Хоростків,"провулок Павла Вірського, буд. 26 кв. 344, Олешки, 14657",003 862-57-58,orysia70@example.com
Івасюк,Хома,Андрійович,чоловік,1989-05-19,Астронавт,село Звенигородка,"набережна Будівельна, буд. 3 кв. 668, Андрушівка, 55420",+380 66 280 57 56,kamilla12@example.com
Сич,Василь,Сергійович,чоловік,2005-07-14,Ґрунтознавець,село Білицьке,"узвіз Цементний, буд. 3 кв. 212, Новоазовськ, 61999",+380 (61) 721-82-59,zynovii99@example.com
Єрченко,Емілія,Андріївна,жінка,1985-12-27,Електротехнік,селище Заліщики,"набережна Азербайджан, буд. 70, Вараш, 79209",432-92-71,pavlyktereza@example.org
Цушко,Єлисавета,Олегівна,жінка,1962-12-08,Слідчий,місто Перемишляни,"проспект Ігоря Балмагії, буд. 570, Мукачево, 58804",047 066 27 33,tetiana56@example.net
Венгринович,Арсен,Олексійович,чоловік,2004-12-01,Круп'є,село Українськ,"узвіз Скрипковий, буд. 346, Прип'ять, 37713",040 699-47-44,vitalii85@example.net
Євтушок,Антон,Олегович,чоловік,2006-04-20,Астроном,місто Лутугине,"парк Моторна, буд. 1, Сміла, 82898",050 811-18-07,wkarmaliuk@example.org
Кабалюк,Світлана,Андріївна,жінка,1990-07-12,Гірник,село Моршин,"сквер Театральний, буд. 81, Алмазна, 72373",+380 74 009-08-51,shvachkafrants@example.net
Штокало,Тереза,Олегівна,жінка,1964-03-02,Гірник,місто Лубни,"провулок Палубний, буд. 9, Хутір-Михайлівський, 39984",+380 47 538 60 38,mcherinko@example.org
Дейнеко,Юстина,Андріївна,жінка,1985-10-31,Локсмайстер,село Покров,"вулиця Деревообробний 3-й, буд. 6 кв. 728, Долина, 92562",+380 (28) 835-17-90,ntsarenko@example.org
Шеремета,Леонід,Олексійович,чоловік,1997-07-27,Археолог,хутір Кам'янське,"набережна Глаубермана, буд. 143 кв. 85, Зеленодольськ, 99716",+380 69 452-02-11,bohodardurdynets@example.net
Шиян,Ігор,Іванович,чоловік,1956-03-17,Редактор,село Липовець,"провулок Менделе Сфоріма, буд. 6 кв. 920, Горлівка, 82236",+380 (40) 052-56-28,vanchenkoiaryna@example.net
Хомик,Соломон,Олексійович,чоловік,1942-07-11,Піаніст,хутір Хирів,"вулиця Віталія Нестеренка, буд. 499 кв. 081, Суходільськ, 21656",+380 09 096-85-35,ivannalyvaiko@example.org
Василевич,Гліб,Іванович,чоловік,1992-03-27,М'ясник,місто Самар,"шосе Наявний 5-й, буд. 202, Зоринськ, 26581",016 128 57 25,avhustyn04@example.net
Демʼянюк,Дан,Олексійович,чоловік,1990-09-19,Менеджер,хутір Мукачево,"провулок Старорізнична, буд. 5 кв. 2, Біляївка, 43014",308-84-37,pumanets@example.com
Михайличенко,Костянтин,Сергійович,чоловік,1974-03-09,Ді-джей,село Горішні Плавні,"узвіз Чернишевського, буд. 339 кв. 76, Батурин, 40925",081 184-92-26,tsiutsiuraoleksa@example.net
Слюсар,Вікторія,Петрівна,жінка,1949-11-02,Фізик,місто Скалат,"парк Георгія Липського, буд. 304, Чортків, 63692",689 12 83,alevtyn26@example.com
Затула,Мартин,Петрович,чоловік,1965-04-12,Дипломат,село Яворів,"набережна Вітчизняна, буд. 93, Новодружеськ, 18981",+380 11 390 34 01,omelian71@example.org
Журба,Ольга,Володимирівна,жінка,1980-07-08,Гірник,селище Боярка,"сквер Щіпний, буд. 19, Федорівка, 73638",041 569-04-02,iustynaandroshchuk@example.net
Яремчук,Світлана,Олексіївна,жінка,1960-08-17,Бухгалтер,село Баштанка,"вулиця Джутовий, буд. 44, Красногорівка, 18324",042 733 55 31,iosyp84@example.org
Козак,Азар,Сергійович,чоловік,1993-03-17,Математик,село Ізюм,"набережна Лиманчик 2-й Лінія 8-ма, буд. 371 кв. 122, Рубіжне, 45703",056 646 79 69,medvedenkoboleslav@example.org
Шелест,Демʼян,Петрович,чоловік,1976-03-29,Різноробочий,селище Новогродівка,"набережна Василя Кандинського 1-й, буд. 61, Обухів, 27863",+380 96 136-91-17,boryslav41@example.net
Пилипенко,Вікторія,Іванівна,жінка,1966-01-01,Фермер,хутір Щолкіне,"провулок Марка Твена, буд. 73 кв. 8, Міусинськ, 08740",016 862-61-87,hunkorostyslav@example.net
Ярош,Одарка,Олексіївна,жінка,1947-02-28,Гінеколог,село Львів,"провулок Донецька, буд. 0, Пологи, 04662",+380 44 127 58 42,yatamaniuk@example.com
Гречко,Олесь,Олексійович,чоловік,1963-09-06,Музикознавець,село Пологи,"площа Проектна 2-га, буд. 1, Харків, 61114",796 20 85,iriabets@example.org
Притула,Ліза,Іванівна,жінка,2004-12-03,Психолог,селище Молочанськ,"вулиця Макова, буд. 9 кв. 361, Белз, 25282",+380 (96) 354-44-20,andrii93@example.com
Ніколюк,Ірена,Олексіївна,жінка,1951-08-26,Скульптор,місто Южне,"шосе Іподромний, буд. 82, Ладижин, 25309",+380 73 464-05-79,smykokhrim@example.com
Андрощук,Антон,Олексійович,чоловік,2007-05-09,Швачка,місто Перещепине,"вулиця Одеської громади, буд. 847 кв. 14, Фастів, 48599",+380 10 565 14 60,leontiireva@example.com
Наливайко,Святослав,Олегович,чоловік,1990-05-26,Живописець,хутір Брянка,"узвіз Довженка, буд. 659 кв. 91, Судова Вишня, 14837",+380 64 186-47-37,chubaiokseniia@example.com
Ященко,Анастасія,Іванівна,жінка,2007-02-27,Ріелтор,місто Генічеськ,"парк Селищна, буд. 52 кв. 283, Іллінці, 39153",034 760-50-20,viacheslav01@example.com
Онищенко,Лілія,Сергіївна,жінка,1960-03-04,Кінолог,хутір Вінниця,"набережна Морехідна, буд. 20 кв. 88, Зміїв, 50706",+380 38 909-65-71,wchaban@example.com
Шаповал,Богдан,Іванович,чоловік,1951-01-21,Каскадер,місто Святогірськ,"провулок Тіниста, буд. 5 кв. 14, Моспине, 86811",504-34-77,maksym60@example.org
Чала,Гордій,Володимирович,чоловік,2006-01-24,Ботанік,селище Глобине,"провулок Перлинна, буд. 472 кв. 7, Корець, 51735",063 707-29-66,ehohol-ianovskyi@example.net
Байда,Вадим,Петрович,чоловік,1952-02-19,Редактор,селище Жданівка,"парк Краснослобідська, буд. 8 кв. 6, Апостолове, 44470",185-57-86,alla82@example.org
